Tenor of WNBA Sponserships,Main Sponser's Name,WNBA Team being Sponsored,estimated Sponsership Amount,per year
N?A,N/A,Atlanta Dreams,,
2016 15 year deal,Wintrust Financial,Chicago Sky,N/A,
2015 N/A,College Park Center?,Dallas Wings,N/A,
2021 multi year deal,Gainbridge?,Indiana Fever,N/A,
2001 N/A,crypto.com center,Los Angeles Sparks,N/A,
2021 multi year deal,Michelob Ultra,Las Vegas Aces,N/A,
N/A,Target?,Minesota Lynx,N/A,
2020 N/A,Barclays Center,New York Liberty,N/A,
2021 start N/A,Footprint Center,Phoenix Mercury,N/A,
2020 start N/A,"Amazon/ Climate 
Pledge Arena",Seattle Storm,N/A,
,,,,
Tenor of NBA sponserships,Main Sponser's Name,NBA Teams Sponsered,,
2018 start 20 years,State Farm,Atlanta Hawks,175 mil,8.75 mil per year
"1994 - present (renewed in 
2013 for additional 20 years)","United Airlines
/United Center Joint Venture",Chicago Bulls,N/A,N/A
1999 start 30 years,American Airlines,Dallas Mavricks,195 mil,
2019  start 20 years,chase,Golden State Warriors,300 mil total,15 mil per year
2021 multi year deal,"Gainbridge Insurance Agency LLC /Group One
 Thousand One LLC",Indiana Pacers,N/A,N/A
2021 start 20 years,crypto.com,Los Angeles Lakers,700 mil total,35 mil per year
"1990 - present (5 year
 annul renewel)",Target,Minnesota Timberwolves,N/A,N/A
2021 NA,Madison Square Garden Sports / New York City,New York Knicks,N/A,N/A
2021 start 15 years,Paycom,Oklahoma City Thunder,N/A,N/A
2021 start N/A,Footprint,Phoenix Suns,N/A,N/A
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
