Team being Sponsored,Main Sponser's Name,Sponsorship Start Year,Tenure of Sponsorships,estimated Sponsorship Buying Cost,per year,Shared Sponsorships,Team Sponser is Shared With
(WNBA) Atlanta Dreams,Gateway Center Arena,2021, N/A,N/A,N/A,No,not shared
(WNBA) Chicago Sky,Wintrust Financial,2016,15 year deal,N/A,N/A,No,not shared
(WNBA) Dallas Wings,College Park Center,2015,N/A,N/A,N/A,No,not shared
(WNBA) Indiana Fever,Gainbridge,2021,multi year deal,N/A,N/A,Yes,Indiana Pacers
(WNBA) Los Angeles Sparks,crypto.com center,2001,20 years,700 mil total,35 mil per year,Yes,Los Angeles Lakers
(WNBA) Las Vegas Aces,Michelob Ultra,2021,multi year deal,not disclosed,N/A,No,not shared
(WNBA) Minnesota Lynx,Target,1990,"1990 - present (3 to 5 year
 annul renewel)",N/A,1.5 mil per year,Yes,Minnesota Timberwolves
(WNBA) New York Liberty,Barclays Center,2020, N/A,N/A,N/A,No,not shared
(WNBA) Phoenix Mercury,Footprint Center,2021, N/A,N/A,N/A,Yes,Phoenix Suns
(WNBA) Seattle Storm,"Amazon/ Climate 
Pledge Arena",2020,N/A,N/A,N/A,No,not shared
Atlanta Hawks,State Farm,2018,20 years,175 mil total,8.75 mil per year,No,not shared
Chicago Bulls,"United Airlines
/United Center Joint Venture","1994 - present (renewed in 
2013 for additional 20 years)","1994 - present (renewed in 
2013 for additional 20 years)",N/A,N/A,No,not shared
Dallas Mavricks,American Airlines,1999,30 years,195 mil total,6.5 mil per year,No,not shared
Golden State Warriors,Chase,2019,20 years,300 mil total,15 mil per year,No,not shared
Indiana Pacers,"Gainbridge Insurance Agency LLC /Group One
 Thousand One LLC",2021,multi year deal,N/A,N/A,Yes,Indiana Fever
Los Angeles Lakers,crypto.com,2021,start 20 years,700 mil total,35 mil per year,Yes,Los Angeles Sparks
Minnesota Timberwolves,Target,"1990 - present (3 to 5 year
 annul renewel)","1990 - present (3 to 5 year
 annul renewel)",N/A,1.5 mil per year,Yes,Minnesota Lynx
New York Knicks,Madison Square Garden Sports / New York City,2021,N/A,N/A,N/A,No,not shared
Oklahoma City Thunder,Paycom,2021,15 years,N/A,N/A,No,not shared
Phoenix Suns,Footprint,2021,N/A,N/A,N/A,Yes,Phoenix Mercury
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
